word,status,source_word,source_page,source_confidence,source_status,note,hint,sort_order
аикидо,approved,аикидо,22,medium,needs_review,manual approval from review list,,
алегро,approved,алегро,27,medium,needs_review,manual approval from review list,,
алтист,approved,алтист,29,medium,needs_review,manual approval from review list,,
амнион,approved,амнион,32,medium,needs_review,manual approval from review list,,
ампула,approved,ампула,32,medium,needs_review,manual approval from review list,,
амулет,approved,амулет,32,medium,needs_review,manual approval from review list,,
анкета,approved,анкета,36,medium,needs_review,manual approval from review list,,
балкан,approved,балкан,61,medium,needs_review,manual approval from review list,,
балсам,approved,балсам,61,medium,needs_review,manual approval from review list,,
бараба,approved,бараба,63,medium,needs_review,manual approval from review list,,
агилан,approved,агйлан,19,low,ocr_suspect,corrected OCR й to Serbian и,,
агилно,approved,агйлно,19,low,ocr_suspect,corrected OCR й to Serbian и,,
адитив,approved,адитйв,20,low,ocr_suspect,corrected OCR й to Serbian и,,
аласки,approved,аласкй,26,low,ocr_suspect,corrected OCR й to Serbian и,,
анилин,approved,анилйн,35,low,ocr_suspect,corrected OCR й to Serbian и,,
бискуп,approved,бйскуп,86,low,ocr_suspect,corrected OCR й to Serbian и,,
бистар,approved,бйстар,86,low,ocr_suspect,corrected OCR й to Serbian и,,
бистро,approved,бйстро,86,low,ocr_suspect,corrected OCR й to Serbian и,,
